filename: MC3_POPC_KBR_5_s377_sum
Qxy: 0.040A-1
detector: p100k
orientation: vertical; upper-out pixel: [1, 195]; center pixel [v h]: [4.608136e+02, 168]
 signal pixe [v h]: [4.608136e+02 146]
detector distance: 703.000000 mm
summed over +-10 pixels horizontally
pixel	tt	I	e_I	Qz
[a.u.]	[deg]	[a.u.]	[a.u.]	[A^-1]
163	4.1675	82	9.0554	0.56106
164	4.1535	95	9.7468	0.55921
165	4.1396	82	9.0554	0.55737
166	4.1256	110	10.488	0.55553
167	4.1117	88	9.3808	0.55368
168	4.0978	92	9.5917	0.55184
169	4.0838	83	9.1104	0.55
170	4.0699	110	10.488	0.54815
171	4.0559	94	9.6954	0.54631
172	4.042	111	10.536	0.54447
173	4.028	92	9.5917	0.54262
174	4.0141	110	10.488	0.54078
175	4.0001	115	10.724	0.53893
176	3.9862	127	11.269	0.53709
177	3.9722	131	11.446	0.53524
178	3.9583	122	11.045	0.5334
179	3.9443	104	10.198	0.53156
180	3.9304	110	10.488	0.52971
181	3.9164	108	10.392	0.52787
182	3.9025	143	11.958	0.52602
183	3.8885	140	11.832	0.52418
184	3.8745	136	11.662	0.52233
185	3.8606	125	11.18	0.52049
186	3.8466	132	11.489	0.51864
187	3.8327	147	12.124	0.5168
188	3.8187	137	11.705	0.51495
189	3.8048	151	12.288	0.51311
190	3.7908	152	12.329	0.51126
191	3.7769	135	11.619	0.50942
192	3.7629	140	11.832	0.50757
193	3.7489	149	12.207	0.50572
194	3.735	162	12.728	0.50388
195	3.721	147	12.124	0.50203
196	3.7071	166	12.884	0.50019
197	3.6931	147	12.124	0.49834
198	3.6791	142	11.916	0.49649
199	3.6652	165	12.845	0.49465
200	3.6512	161	12.689	0.4928
201	3.6373	167	12.923	0.49095
202	3.6233	176	13.266	0.48911
203	3.6093	185	13.601	0.48726
204	3.5954	183	13.528	0.48541
205	3.5814	163	12.767	0.48357
206	3.5674	177	13.304	0.48172
207	3.5535	173	13.153	0.47987
208	3.5395	166	12.884	0.47803
209	3.5255	186	13.638	0.47618
210	3.5116	166	12.884	0.47433
211	3.4976	182	13.491	0.47249
212	3.4836	203	14.248	0.47064
213	3.4697	197	14.036	0.46879
214	3.4557	191	13.82	0.46694
215	3.4417	187	13.675	0.4651
216	3.4278	191	13.82	0.46325
217	3.4138	189	13.748	0.4614
218	3.3998	200	14.142	0.45955
219	3.3859	172	13.115	0.4577
220	3.3719	179	13.379	0.45586
221	3.3579	193	13.892	0.45401
222	3.344	197	14.036	0.45216
223	3.33	192	13.856	0.45031
224	3.316	209	14.457	0.44846
225	3.302	196	14	0.44661
226	3.2881	192	13.856	0.44477
227	3.2741	190	13.784	0.44292
228	3.2601	203	14.248	0.44107
229	3.2462	183	13.528	0.43922
230	3.2322	201	14.177	0.43737
231	3.2182	217	14.731	0.43552
232	3.2042	219	14.799	0.43367
233	3.1903	202	14.213	0.43182
234	3.1763	199	14.107	0.42998
235	3.1623	198	14.071	0.42813
236	3.1483	210	14.491	0.42628
237	3.1344	217	14.731	0.42443
238	3.1204	243	15.588	0.42258
239	3.1064	215	14.663	0.42073
240	3.0924	204	14.283	0.41888
241	3.0785	213	14.595	0.41703
242	3.0645	194	13.928	0.41518
243	3.0505	197	14.036	0.41333
244	3.0365	190	13.784	0.41148
245	3.0225	176	13.266	0.40963
246	3.0086	195	13.964	0.40778
247	2.9946	199	14.107	0.40593
248	2.9806	211	14.526	0.40408
249	2.9666	205	14.318	0.40223
250	2.9526	184	13.565	0.40038
251	2.9387	170	13.038	0.39853
252	2.9247	186	13.638	0.39668
253	2.9107	180	13.416	0.39483
254	2.8967	165	12.845	0.39298
255	2.8827	168	12.961	0.39113
256	2.8687	188	13.711	0.38928
257	2.8548	190	13.784	0.38743
258	2.8408	193	13.892	0.38557
259	2.8268	179	13.379	0.38372
260	2.8128	179	13.379	0.38187
261	2.7988	205	14.318	0.38002
262	2.7848	147	12.124	0.37817
263	2.7709	197	14.036	0.37632
264	2.7569	174	13.191	0.37447
265	2.7429	185	13.601	0.37262
266	2.7289	168	12.961	0.37077
267	2.7149	168	12.961	0.36891
268	2.7009	157	12.53	0.36706
269	2.6869	169	13	0.36521
270	2.6729	165	12.845	0.36336
271	2.659	139	11.79	0.36151
272	2.645	153	12.369	0.35966
